station_name,latitude,longitude,community,pagerank
Meri-Rastilan tori,60.2041542257304,25.1194224144705,inf_5,0.001068825403272315
Jämeräntaival,60.188118,24.835033,inf_3,0.0025059962436383
Postipuisto,60.2203012590912,24.9337369553808,inf_9,0.0006357322088455217
Lastenlehto,60.1657993006509,24.9270362659605,inf_7,0.0025194547003884273
Herttoniemenranta,60.1902241178364,25.0261074895481,inf_5,0.0017420176205871205
Varsapuistikko,60.173090902864594,24.9494967766807,inf_0,0.004418374175259341
Lehtisaarentie,60.1819482497591,24.850503945183103,inf_3,0.002362067221548464
Merihaka,60.1780749105533,24.9585285446676,inf_0,0.002086806693146516
Lystimäensilta,60.17471,24.752442,inf_3,0.0009193340889839307
Hauenkalliontie,60.161137999999994,24.756272,inf_3,0.0018013203879599568
Lettopolku,60.240913939764006,25.0855297731565,inf_5,0.0005698531951609308
Kiskontie,60.1990120683446,24.9012350212612,inf_1,0.0015809319382692063
Agnetankuja,60.18721134575811,25.0365006704009,inf_5,0.002519742849128932
Relanderinaukio,60.1858547331594,25.0058079125449,inf_9,0.001125625155126149
Erottajan aukio,60.1668948711694,24.9441887601673,inf_0,0.003116626522814768
Marjaniemi,60.20361992974351,25.0863443649103,inf_5,0.0012819669415936557
Kurkimäentie,60.2331943880568,25.0626083649392,inf_5,0.00111072452912354
Leppävaaran urheilupuisto,60.224943,24.800971,inf_8,0.0014757036755239164
Otsolahti,60.178655000000006,24.817423,inf_3,0.001795041486625204
Ehrenströmintie,60.15521782753439,24.9592122677265,inf_0,0.0019583959858430165
Aurinkolahdenaukio,60.2011360782064,25.1501135293384,inf_5,0.0014414610491347412
Takomotie,60.2178996244041,24.8710464686467,inf_1,0.0018853749142096023
Ala-Malmin tori,60.2503063500603,25.013237144346203,inf_9,0.0028955793468848257
Laulurastaantie,60.260884652172706,25.0033102423416,inf_9,0.0010090932805535686
Tapiolan urheilupuisto,60.177749,24.784654,inf_3,0.0017451137145395425
Ooppera,60.182552891987,24.9266869997467,inf_6,0.006114478851165013
Keilaranta,60.178762000000006,24.835132,inf_3,0.001370445434523959
Asentajanpuisto,60.19915348424011,25.0424582865295,inf_5,0.0015814606158455846
Maistraatintori,60.19915098083139,24.9248733985577,inf_6,0.0016301379670087687
Sompasaari,60.1829308185667,24.9760758238593,inf_9,0.0007394398280363609
